url	date	query_name	title	company	status
https://job-boards.greenhouse.io/grafanalabs/jobs/5856681004	2026-04-09	Greenhouse — Senior Frontend	Senior Frontend Engineer, Alerting	Grafana Labs	added
https://jobs.lever.co/veeva/866d4776-9d23-4311-ab16-4ebff725984d	2026-04-09	Lever — Frontend / React	Senior Frontend Engineer - React (Remote)	Veeva Systems	added
https://boards.greenhouse.io/chime/jobs/8375225002	2026-04-09	Greenhouse API — chime	Senior Frontend Engineer, Design Systems	Chime	added
https://boards.greenhouse.io/chime/jobs/8485955002	2026-04-09	Greenhouse API — chime	Senior Full-Stack Engineer, App Journey	Chime	added
https://job-boards.greenhouse.io/affirm/jobs/7663436003	2026-04-09	Greenhouse API — affirm	Senior Software Engineer, Fullstack (Consumer Engineering)	Affirm	added
https://job-boards.greenhouse.io/affirm/jobs/7686804003	2026-04-09	Greenhouse API — affirm	Senior Software Engineer, Full Stack (Zero to One Labs)	Affirm	added
https://job-boards.greenhouse.io/affirm/jobs/7624374003	2026-04-09	Greenhouse API — affirm	Senior Software Engineer, Full-Stack (Trust & Safety)	Affirm	added
https://job-boards.greenhouse.io/webflow/jobs/7293969	2026-04-09	Greenhouse API — webflow	Senior Software Engineer, Fullstack	Webflow	added
https://job-boards.greenhouse.io/intercom/jobs/7274831	2026-04-09	Greenhouse API — intercom	Senior Full Stack Engineer - Team Web	Intercom	added
https://job-boards.greenhouse.io/gleanwork/jobs/4006733005	2026-04-09	Greenhouse API — gleanwork	Software Engineer, Frontend	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4006734005	2026-04-09	Greenhouse API — gleanwork	Software Engineer, Fullstack	Glean	added
https://job-boards.greenhouse.io/airtable/jobs/8397137002	2026-04-09	Greenhouse API — airtable	Software Engineer, Product Frontend (2-8 YOE)	Airtable	added
https://www.brex.com/careers/8478372002	2026-04-09	Greenhouse API — brex	Frontend Engineer II	Brex	added
https://job-boards.greenhouse.io/vercel/jobs/5808568004	2026-04-09	Greenhouse API — vercel	Software Engineer, Dashboard	Vercel	added
https://boards.greenhouse.io/figma/jobs/5691911004	2026-04-09	Greenhouse API — figma	Software Engineer, Full Stack	Figma	added
https://job-boards.greenhouse.io/hightouch/jobs/5734303004	2026-04-09	Greenhouse API — hightouch	Web Engineer	Hightouch	added
